doctor_id,specialization,experience_years,performance_rating,department
D00000,Gastroenterology,9,1.39,Gastroenterology
D00001,Cardiology,36,2.38,Cardiology
D00002,Oncology,6,2.11,Oncology
D00003,Gastroenterology,24,4.98,Gastroenterology
D00004,Pediatrics,26,4.43,Pediatrics
D00005,Orthopedics,34,3.95,Orthopedics
D00006,Oncology,1,4.67,Oncology
D00007,Oncology,23,4.66,Oncology
D00008,Gastroenterology,17,1.79,Gastroenterology
D00009,Urology,36,2.37,Urology
D00010,Pediatrics,37,1.19,Pediatrics
D00011,Gastroenterology,20,2.23,Gastroenterology
D00012,Pediatrics,26,3.85,Pediatrics
D00013,Pediatrics,11,3.85,Pediatrics
D00014,Orthopedics,20,2.78,Orthopedics
D00015,Oncology,1,1.67,Oncology
D00016,Cardiology,13,1.18,Cardiology
D00017,Orthopedics,36,2.0,Orthopedics
D00018,Orthopedics,38,1.33,Orthopedics
D00019,Pediatrics,13,4.96,Pediatrics
D00020,Neurology,14,1.59,Neurology
D00021,Oncology,12,4.25,Oncology
D00022,Urology,34,2.49,Urology
D00023,Orthopedics,27,3.48,Orthopedics
D00024,Cardiology,12,3.15,Cardiology
D00025,Neurology,38,1.22,Neurology
D00026,Neurology,36,4.63,Neurology
D00027,Urology,1,4.6,Urology
D00028,Orthopedics,26,2.19,Orthopedics
D00029,Cardiology,40,1.53,Cardiology
D00030,Oncology,40,1.41,Oncology
D00031,Emergency,21,4.38,Emergency
D00032,Cardiology,32,3.33,Cardiology
D00033,Urology,25,2.5,Urology
D00034,Neurology,12,2.36,Neurology
D00035,Oncology,25,3.19,Oncology
D00036,Cardiology,26,2.09,Cardiology
D00037,Emergency,36,1.08,Emergency
D00038,Emergency,16,2.66,Emergency
D00039,Pediatrics,14,4.5,Pediatrics
D00040,Pediatrics,34,4.21,Pediatrics
D00041,Gastroenterology,24,4.65,Gastroenterology
D00042,Urology,8,3.66,Urology
D00043,Orthopedics,27,1.2,Orthopedics
D00044,Cardiology,39,2.87,Cardiology
D00045,Cardiology,13,1.08,Cardiology
D00046,Orthopedics,29,4.88,Orthopedics
D00047,Gastroenterology,31,3.72,Gastroenterology
D00048,Neurology,19,1.06,Neurology
D00049,Neurology,10,4.85,Neurology
D00050,Gastroenterology,40,2.49,Gastroenterology
D00051,Neurology,34,1.6,Neurology
D00052,Pediatrics,1,3.91,Pediatrics
D00053,Cardiology,19,1.61,Cardiology
D00054,Gastroenterology,1,1.89,Gastroenterology
D00055,Cardiology,24,1.35,Cardiology
D00056,Orthopedics,25,3.81,Orthopedics
D00057,Emergency,4,1.85,Emergency
D00058,Pediatrics,24,4.26,Pediatrics
D00059,Oncology,39,3.48,Oncology
D00060,Pediatrics,20,2.56,Pediatrics
D00061,Gastroenterology,33,4.89,Gastroenterology
D00062,Oncology,28,1.79,Oncology
D00063,Emergency,35,4.05,Emergency
D00064,Gastroenterology,24,1.61,Gastroenterology
D00065,Urology,40,1.89,Urology
D00066,Cardiology,2,1.51,Cardiology
D00067,Emergency,23,4.74,Emergency
D00068,Cardiology,33,2.9,Cardiology
D00069,Neurology,14,4.35,Neurology
D00070,Urology,15,1.22,Urology
D00071,Urology,32,3.34,Urology
D00072,Emergency,23,2.8,Emergency
D00073,Urology,4,4.95,Urology
D00074,Oncology,20,4.17,Oncology
D00075,Urology,31,4.71,Urology
D00076,Cardiology,7,2.9,Cardiology
D00077,Cardiology,1,4.24,Cardiology
D00078,Gastroenterology,5,1.83,Gastroenterology
D00079,Cardiology,14,3.81,Cardiology
D00080,Gastroenterology,30,4.88,Gastroenterology
D00081,Cardiology,38,3.44,Cardiology
D00082,Oncology,23,1.09,Oncology
D00083,Orthopedics,7,2.38,Orthopedics
D00084,Gastroenterology,39,3.38,Gastroenterology
D00085,Pediatrics,16,1.46,Pediatrics
D00086,Neurology,9,2.61,Neurology
D00087,Emergency,39,2.8,Emergency
D00088,Cardiology,34,4.52,Cardiology
D00089,Urology,31,3.28,Urology
D00090,Orthopedics,7,3.19,Orthopedics
D00091,Cardiology,2,2.46,Cardiology
